first_seen_at,title,channel,url,published_at,first_seen_views,first_seen_velocity,peak_velocity,peak_views,last_seen_at,last_views
2026-07-01T04:17:12Z,"So, I datamined Swords in Path of Exile 2. Here's what they do",Rite of Sausage,https://www.youtube.com/watch?v=wI6YsYdPJYE,2026-06-30T22:17:17Z,55,9.17,32.08,1898,2026-07-03T09:27:27Z,1898
2026-07-01T04:17:12Z,Entangle Druid 1-Button XESHT Breach Pinnacle Boss | POE 2,Gaap,https://www.youtube.com/watch?v=FIAJMEkgSWY,2026-06-29T12:27:57Z,405,10.17,10.17,405,2026-07-01T04:17:12Z,405
2026-07-01T04:17:12Z,Evasion + Energy Shield est la défense la plus BROKEN du jeu DE LOIN #twitch #pathofexile2,Le Chat En Costume,https://www.youtube.com/watch?v=1MUNkKCHAog,2026-06-29T10:00:29Z,468,11.07,11.07,468,2026-07-01T06:24:22Z,468
2026-07-01T04:17:12Z,Path of Exile - Ep 1 - Empieza Tota - Acto 1 [Tota-Phrecia],Nicro4FUN,https://www.youtube.com/watch?v=KwVEpw2iBCI,2026-06-30T18:00:33Z,144,14.01,14.01,167,2026-07-01T09:47:44Z,167
2026-07-01T04:17:12Z,🔴 เล่นยาว 50 วัน  | Path of Exile 2 | วันที่ 1 บิลด์ในฝัน หรือ ฝันว่าได้บิลด์,2055 Capital,https://www.youtube.com/watch?v=yHXywxwpUBU,2026-06-30T18:38:44Z,140,14.52,14.52,140,2026-07-01T06:34:45Z,140
2026-07-01T04:17:12Z,Endgame Energy Blade Oshabi  | ToTA Day 4 | Path of Exile 1,Alohaa,https://www.youtube.com/watch?v=YZ_Jpx-Ts24,2026-06-30T21:18:24Z,158,22.64,28.1,921,2026-07-03T03:47:07Z,921
2026-07-01T04:17:12Z,Aarakali Servant - Animate Weapons | Day 3 Update | POE 1 ROTA | Phrecia V4.0,Lokati,https://www.youtube.com/watch?v=zzZYIsjs5zM,2026-06-29T12:39:04Z,905,22.83,22.83,944,2026-07-01T09:59:36Z,944
2026-07-01T04:17:12Z,[Path of Exile 2] Spiegone lunghissimo e dettagliato della mia strategua alch&go,ReVoGaming,https://www.youtube.com/watch?v=QYU12M_p9oc,2026-06-29T15:24:12Z,1016,27.55,27.55,1088,2026-07-01T14:47:59Z,1088
2026-07-01T04:17:12Z,day 3 ROTA Event - Path Of Exile 1,POEGuy,https://www.youtube.com/watch?v=SRuMwu-wGus,2026-06-29T15:12:55Z,1054,28.43,28.43,1070,2026-07-01T14:47:59Z,1070
2026-07-01T04:17:12Z,"Essence Drain Gemling - 10, 100, 1000 divines | Part 1/3 | Poe2 0.5 Rise of the Ancients",xRoGeSx,https://www.youtube.com/watch?v=49NS2Z2TLoI,2026-06-29T18:53:42Z,1206,36.12,36.12,1274,2026-07-01T20:03:02Z,1274
2026-07-01T04:17:12Z,[Path of Exile 2] Chaos + tablet = 150 divine in pochi minuti!,ReVoGaming,https://www.youtube.com/watch?v=0qz6xVPf-6Q,2026-06-30T10:32:15Z,679,38.26,39.57,996,2026-07-02T14:14:06Z,996
2026-07-01T04:17:12Z,TOP 10 NEW BEST COMMUNITY BUILDS AFTER 1 MONTH! Path of Exile 2 0.5 Builds | POE 2 Builds 0.5,KaidGames2,https://www.youtube.com/watch?v=g59X6bx0wz8,2026-06-30T20:00:05Z,415,50.09,50.09,2142,2026-07-03T03:47:07Z,2142
2026-07-01T04:17:12Z,"Impending Doom Gemling Legionnaire - All-Rounder de ""1 Botão"" - Guia Completo | Path of Exile 2 0.5",SasakiTV,https://www.youtube.com/watch?v=QK5f77ncWCY,2026-06-30T07:50:52Z,1373,67.18,67.18,1879,2026-07-02T09:22:30Z,1879
2026-07-01T04:17:12Z,[PoE 1] Late Upgrades & More Damage for my Ancestral Commander EA build // POEGuy's Event setup.,POEGuy,https://www.youtube.com/watch?v=x6bYqofIwP4,2026-06-29T09:56:54Z,3095,73.1,73.1,3210,2026-07-01T09:37:19Z,3210
2026-07-01T04:17:12Z,Selfsustaining Strongbox Farm | 30-50div per hour | ToTA Path of Exile 1,Alohaa,https://www.youtube.com/watch?v=SFjT8I8bfMw,2026-06-30T09:21:13Z,2309,121.96,121.96,3474,2026-07-02T09:22:30Z,3474
2026-07-01T04:17:12Z,[PoE2] ผมใช้อาวุธ 1 div ทำ Falling Thunder 1M | Budget 70 div+-,SolLudit,https://www.youtube.com/watch?v=dob6rwikU_8,2026-06-30T15:16:52Z,1651,126.94,140.23,4572,2026-07-02T19:40:29Z,4572
2026-07-01T04:17:12Z,Big TotA Build Update! - Phrecia League 3.0 - PoE 1 3.28,Path of Evening,https://www.youtube.com/watch?v=HyK13Vjfs2E,2026-06-29T14:00:37Z,6142,160.46,160.46,6567,2026-07-01T14:47:59Z,6567
2026-07-01T04:17:12Z,[POE2 0.5시즌] 이제는 1버튼 사냥이다! 마셜 아티스트 격파장법 2.0 세팅 가이드 | 레알POE2,레토르트,https://www.youtube.com/watch?v=pbP3xBgDqZ8,2026-06-29T08:45:10Z,8221,188.84,188.84,8473,2026-07-01T06:34:45Z,8473
2026-07-01T04:17:12Z,1 Ritual +50 Divine Profit! Ritual insane! Path of Exile 2 0.5  #pathofexile2 #poe2 #gaming #poeloot,Flower,https://www.youtube.com/watch?v=IP-1MgpsFWQ,2026-06-29T22:42:37Z,5966,201.71,218.97,9928,2026-07-01T20:03:02Z,9928
2026-07-01T04:17:12Z,Behemoth Cyclone - From Zero To Hero - Part 1 - Return of the Ancestors,EXILED CAT,https://www.youtube.com/watch?v=rZkj4wvw8Qc,2026-06-30T11:00:55Z,23547,1363.34,1363.34,33603,2026-07-02T14:14:06Z,33603
2026-07-01T05:40:08Z,[PoE2] Pillar Of The Caged God Making a Comeback,Carnarius,https://www.youtube.com/watch?v=4gg2Rbs7QgU,2026-06-30T16:42:20Z,2094,161.53,161.53,4211,2026-07-04T03:39:06Z,4211
2026-07-01T05:40:08Z,"Hollow Petals, The New King of Monk Builds - ALL BUDGET FRIENDLY - Full Build Guide",Master T,https://www.youtube.com/watch?v=Vwt3KVb49pg,2026-06-29T04:38:21Z,27630,563.54,563.54,28523,2026-07-01T09:27:16Z,28523
2026-07-01T06:24:22Z,NEW 0.5 'INFINITE' LOOP Tempoarlis BLINK AUTOBOMBER Bloodmage Build For POE 2,Mattjestic Life,https://www.youtube.com/watch?v=95ltXHd7jfo,2026-06-29T14:00:17Z,6424,159.0,159.0,6434,2026-07-01T06:34:45Z,6434
2026-07-01T09:27:16Z,Day 2 Deathless Ubers with Energy Blade Oshabi  | ToTA Phrecia Event| Path of Exile 1,Alohaa,https://www.youtube.com/watch?v=Zcenk_C0z1c,2026-06-28T18:32:05Z,2854,45.36,45.36,2854,2026-07-01T09:27:16Z,2854
2026-07-01T09:27:16Z,The Easiest 2K TOTA Build - Return of the Ancestors Guide (PoE),PapaREMGames,https://www.youtube.com/watch?v=m_fKGeb8EGs,2026-06-28T17:07:50Z,4170,64.83,64.83,4170,2026-07-01T09:27:16Z,4170
2026-07-01T09:27:16Z,Glacial Bolt SAVED my Gemling | 1-Button Screen Wide Explosions | POE 0.5,EverydayXP,https://www.youtube.com/watch?v=-v-Ita9ou-U,2026-06-28T18:16:23Z,4934,78.09,78.09,4934,2026-07-01T09:27:16Z,4934
2026-07-01T09:27:16Z,"POE2 준비물:골드,화폐  1분에1신성!! 차익런",오리뷰 Duck,https://www.youtube.com/watch?v=LL84-tuXiaY,2026-06-29T08:30:24Z,3873,79.12,79.12,3873,2026-07-01T09:27:16Z,3873
2026-07-01T09:27:16Z,Who's the NUMBER 1 DPS? B6 Ulquiorra vs B6 Kenpachi vs B6 Grimmjow | Bleach Soul Resonance,KlintonCRM,https://www.youtube.com/watch?v=G3IKyZ3rNa8,2026-06-28T11:18:02Z,6398,91.2,91.2,6398,2026-07-01T09:27:16Z,6398
2026-07-01T09:27:16Z,Behemoth Armour Stack Situation - Path of Exile 3.28 Ancestors Event,Bigdaddy,https://www.youtube.com/watch?v=9FQwtpjhFpw,2026-06-28T08:17:09Z,9019,123.26,123.26,9019,2026-07-01T09:27:16Z,9019
2026-07-01T09:27:16Z,"Diablo 4 Season 14 Builds/Prep/Rankings, later trying out RagnarokX (#ad)",wudijo,https://www.youtube.com/watch?v=-fCwH-_t8C8,2026-06-29T03:18:31Z,7924,146.35,146.35,7924,2026-07-01T09:27:16Z,7924
2026-07-01T09:27:16Z,How to Level With Spark From Level 1 — Twink Leveling Guide | Path of Exile 2,anime princess,https://www.youtube.com/watch?v=VgdTmxVwPXQ,2026-06-28T22:22:50Z,12442,210.62,210.62,12442,2026-07-01T09:27:16Z,12442
2026-07-01T09:27:16Z,Path of Exile 2 - Grim Pillars Build Guide with 4 Divines,OnesInTheChat,https://www.youtube.com/watch?v=dCFMABlcG0E,2026-06-30T14:30:08Z,6021,317.69,317.69,8065,2026-07-02T19:40:29Z,8065
2026-07-01T09:27:16Z,"Finally, THE BEST IGNITE build in Path of Exile 2 - Lifestacker Acolyte of Chayula.",Korihor,https://www.youtube.com/watch?v=-ELiaCSa8HQ,2026-06-29T23:45:09Z,12945,384.1,384.1,13384,2026-07-01T14:47:59Z,13384
2026-07-01T09:27:16Z,CRAFTING THIS SPEAR MADE ME WANT TO QUIT - Path of Exile 2,Spicysushi PoE,https://www.youtube.com/watch?v=MvwApFvZEig,2026-06-28T14:18:32Z,51692,769.85,769.85,51692,2026-07-01T09:27:16Z,51692
2026-07-01T09:27:16Z,PoE2 Most Expensive Build Loses To One Rare,Exiled Again,https://www.youtube.com/watch?v=4sQt3yD_hug,2026-06-28T13:00:12Z,63462,927.11,927.11,63462,2026-07-01T09:27:16Z,63462
2026-07-01T09:37:19Z,"[BR/ENG] QUARTA CHEGOU, BUILD MUDOU - POE 1 24/07 !build !discord",SasakiTV,https://www.youtube.com/watch?v=3sW8Rct21jg,2026-07-01T08:13:10Z,88,14.67,15.0,92,2026-07-01T14:47:59Z,92
